transformation_code,transformation_description_long
TRNS:INC_EFFICIENCY_ELECTRIC,Vehicle efficiency can be improved over time through regulation and technological investment. This transformation increases the efficiency of electric vehicles  and is specified as a fractional increase in the efficiency against the final time period. 
TRNS:INC_EFFICIENCY_NON_ELECTRIC,Vehicle efficiency can be improved over time through regulation and technological investment. This transformation increases the efficiency of non-electric vehicles (including fossil-fuel ICEs and other fuel sources) and is specified as a fractional increase in the efficiency against the final time period. 
TRNS:INC_OCCUPANCY_LIGHT_DUTY,The occupancy rate of private vehicles can be increased through mechanisms like implementing carpool lanes or incentive programs for carpooling. This transformation is specified as a fractional increase in the average occupancy rate of private vehicles.  
TRNS:SHIFT_FUEL_LIGHT_DUTY,"Light-duty transportation (including private cars and trucks, `road_light` category) can be electrified. This transformation allows for the specification of a target fraction of light duty vehicles fueled by electricity. Baseline are shifted out proportionally to their baseline prevalence. "
TRNS:SHIFT_FUEL_MARITIME,Maritime transportation (including boats and ships) can be shifted away from fossil fuels. This transformation allows for the specification of a target fraction of maritime transportation demand that is shifted to hydrogen; the rest is electrified (note that this can be adjusted). Baseline are shifted out proportionally to their baseline prevalence. 
TRNS:SHIFT_FUEL_MEDIUM_DUTY,"Medium-duty transportation (including `road_heavy_freight`, `road_heavy_regional`, and `public` categories) can be shifted away from fossil fuels. This transformation allows for the specification of a target fraction of medium duty vehicles fueled by electricity; the rest are shifted to hydrogen (note that this can be adjusted). Baseline are shifted out proportionally to their baseline prevalence. "
TRNS:SHIFT_FUEL_RAIL,Rail (including `rail_freight` and `rail_passenger` categories) can be electrified. This transformation allows for the specification of a target fraction of rail fueled by electricity. Baseline are shifted out proportionally to their baseline prevalence. 
TRNS:SHIFT_MODE_FREIGHT,"The modes by which freight is transported can be shifted. This transformation allows for the transportation that meets freight demand to be rearranged. By default, shifts 20% of aviation and road freight demand to freight rail."
TRNS:SHIFT_MODE_PASSENGER,"The modes by which passengers are transported can be shifted. This transformation allows for the transportation that meets day-to-day demand to be rearranged. By default, shifts 30% (X) of passenger road demand to human powered (17% of X), powered bikes (33%), and public (50%)."
TRNS:SHIFT_MODE_REGIONAL,"The modes by which regional transportation demands are met can be shifted. This transformation allows for the transportation that meets regional passenger demand to be rearranged. By default, shifts 10% of passenger aviation and 20% of light-duty road demand to heavy-duty road transport."
TRWW:INC_CAPTURE_BIOGAS,Increases capture of biogas at secondary and tertiary anaerobic wastewater treatment facilities. 
TRWW:INC_COMPLIANCE_SEPTIC,"Septic tanks help reduce emissions and improve health outcomes in rural areas. However, compliance in pumping schedule and maintenance are required to maintain full  benefits. This transformation increases the compliance of septic tanks."
WALI:INC_TREATMENT_INDUSTRIAL,"Industrial wastewater treatment is shifted so that a minimum of 80% is treated in advanced anaerobic facilities, 10% is in secondary anaerobic facilities, and 10% is in secondary aerobic facilities."
WALI:INC_TREATMENT_RURAL,Rural wastewater treatment is shifted so that 100% of rural wastewater is treated in septic tanks. 
WALI:INC_TREATMENT_URBAN,"Industrial wastewater treatment is shifted so that a minimum of 30% is treated in advanced anaerobic facilities, 30% is treated in advanced aerobic facilities, 20% is in secondary anaerobic facilities, and 20% is in secondary aerobic facilities."
WASO:DEC_CONSUMER_FOOD_WASTE,Reduce the amount of food waste generated per capita.
WASO:INC_ANAEROBIC_AND_COMPOST,"Increase the fraction of yard, food, and sludge waste that is treated by anaerobic digesters or compost. Defaults to 47.5% in anaerobic digestion facilities and 47.5% in compost facilities."
WASO:INC_CAPTURE_BIOGAS,Increase fraction of biogas captured from landfills and anaerobic digesters
WASO:INC_ENERGY_FROM_BIOGAS,Increase the fraction of biogas that is collected that is used for energy
WASO:INC_ENERGY_FROM_INCINERATION,Solid waste can be incinerated and used for energy; this transformation specifies the target fraction of solid waste that is incinerated that is used for energy.
WASO:INC_LANDFILLING,"Increase fraction of waste that is otherwise not recycled, composted, or digested that is sent to landfills"
WASO:INC_RECYCLING,Recycling can reduce emissions by reducing anaerobic decomposition in landfills and reducing the need for virgin production of materials. This transformation increases the fraction of recyclable waste that is recycled.
