transformation_code,subsector,transformation_name,transformation_yaml_name,transformation_description,magnitude_base,magnitude_strategy_NDC,magnitude_strategy_LEP,magnitude_strategy_Conditional
TX:PFLO:INC_IND_CCS,PFLO,Industrial carbon capture and sequestration,transformation_pflo_inc_ind_ccs.yaml,Increase carbon capture and sequestration in industry (excluding energy production industry). Defaults to an 80% prevalence with 90% efficacy (all can be modified). ,"{'dict_magnitude_eff': 0.9, 'dict_magnitude_prev': None}",,,
TX:SCOE:DEC_DEMAND_HEAT,SCOE,Reduce end-use demand for heat energy by improving building shell,transformation_scoe_dec_demand_heat.yaml,"Reduce end-use demand for heat energy by improving building shell--can include interventions such as retrofitting, smart thermostats, and more. ",0.5,0.1,0.05,0.6
TX:SCOE:INC_EFFICIENCY_APPLIANCE,SCOE,Increase appliance efficiency,transformation_scoe_inc_efficiency_appliance.yaml,Reduce demand for electricity in buildings by increasing the efficiency of electrified building energy.,0.5,0.15,0.05,0.5
TX:SCOE:SHIFT_FUEL_HEAT,SCOE,"Switch to electricity for heat using heat pumps, electric stoves, etc.",transformation_scoe_shift_fuel_heat.yaml,"Heating energy in buildings can be electrified; for example, heating can be performed using heat pumps and cooking can be electrified.",0.95,0.19,0.095,0.95
TX:SOIL:DEC_LIME_APPLIED,SOIL,Improve lime application,transformation_soil_dec_lime_applied.yaml,Decrease lime applied to soils (default 5%),0.2,,,
TX:SOIL:DEC_N_APPLIED,SOIL,Improve fertilizer application,transformation_soil_dec_n_applied.yaml,Decrease total nitrogen applied through more precise fertilizer use (default 5%) without decreasing yields,0.2,0.06,0.020000000000000004,0.1
TX:TRDE:DEC_DEMAND,TRDE,Reduce demand for transport,transformation_trde_dec_demand.yaml,Demand for public and private transportation can be reduced through mechanisms like urban planning or congestion pricing. ,0.25,0.075,0.025,0.375
TX:TRNS:INC_EFFICIENCY_ELECTRIC,TRNS,Increase electric transportation energy efficiency,transformation_trns_inc_efficiency_electric.yaml,Vehicle efficiency can be improved over time through regulation and technological investment. This transformation increases the efficiency of electric vehicles  and is specified as a fractional increase in the efficiency against the final time period. ,0.25,0.075,0.025,0.375
TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC,TRNS,Increase non-electric transportation energy efficiency,transformation_trns_inc_efficiency_non_electric.yaml,Vehicle efficiency can be improved over time through regulation and technological investment. This transformation increases the efficiency of non-electric vehicles (including fossil-fuel ICEs and other fuel sources) and is specified as a fractional increase in the efficiency against the final time period. ,0.25,,0.0125,0.375
TX:TRNS:INC_OCCUPANCY_LIGHT_DUTY,TRNS,Increase occupancy for private vehicles,transformation_trns_inc_occupancy_light_duty.yaml,The occupancy rate of private vehicles can be increased through mechanisms like implementing carpool lanes or incentive programs for carpooling. This transformation is specified as a fractional increase in the average occupancy rate of private vehicles.  ,0.25,,,
TX:TRNS:SHIFT_FUEL_LIGHT_DUTY,TRNS,Electrify light duty road transport,transformation_trns_shift_fuel_light_duty.yaml,"Light-duty transportation (including private cars and trucks, `road_light` category) can be electrified. This transformation allows for the specification of a target fraction of light duty vehicles fueled by electricity. Baseline are shifted out proportionally to their baseline prevalence. ",0.7,0.13999999999999999,0.06999999999999999,0.5599999999999999
TX:TRNS:SHIFT_FUEL_MARITIME,TRNS,Fuel switch maritime,transformation_trns_shift_fuel_maritime.yaml,Maritime transportation (including boats and ships) can be shifted away from fossil fuels. This transformation allows for the specification of a target fraction of maritime transportation demand that is shifted to hydrogen; the rest is electrified (note that this can be adjusted). Baseline are shifted out proportionally to their baseline prevalence. ,0.7,,,
TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,TRNS,Fuel switch medium duty road transport,transformation_trns_shift_fuel_medium_duty.yaml,"Medium-duty transportation (including `road_heavy_freight`, `road_heavy_regional`, and `public` categories) can be shifted away from fossil fuels. This transformation allows for the specification of a target fraction of medium duty vehicles fueled by electricity; the rest are shifted to hydrogen (note that this can be adjusted). Baseline are shifted out proportionally to their baseline prevalence. ",0.7,0.13999999999999999,0.06999999999999999,0.21
TX:TRNS:SHIFT_FUEL_RAIL,TRNS,Electrify rail,transformation_trns_shift_fuel_rail.yaml,Rail (including `rail_freight` and `rail_passenger` categories) can be electrified. This transformation allows for the specification of a target fraction of rail fueled by electricity. Baseline are shifted out proportionally to their baseline prevalence. ,0.25,,,
TX:TRNS:SHIFT_MODE_FREIGHT,TRNS,Mode shift freight,transformation_trns_shift_mode_freight.yaml,"The modes by which freight is transported can be shifted. This transformation allows for the transportation that meets freight demand to be rearranged. By default, shifts 20% of aviation and road freight demand to freight rail.",0.2,,,
TX:TRNS:SHIFT_MODE_PASSENGER,TRNS,Mode shift passenger vehicles to others,transformation_trns_shift_mode_passenger.yaml,"The modes by which passengers are transported can be shifted. This transformation allows for the transportation that meets day-to-day demand to be rearranged. By default, shifts 30% (X) of passenger road demand to human powered (17% of X), powered bikes (33%), and public (50%).",0.3,0.09,0.03,0.3
TX:TRNS:SHIFT_MODE_REGIONAL,TRNS,Mode shift regional passenger travel,transformation_trns_shift_mode_regional.yaml,"The modes by which regional transportation demands are met can be shifted. This transformation allows for the transportation that meets regional passenger demand to be rearranged. By default, shifts 10% of passenger aviation and 20% of light-duty road demand to heavy-duty road transport.","{'dict_categories_out': {'aviation': 0.1, 'road_light': 0.2}, 'dict_categories_target': None}",,,
TX:TRWW:INC_CAPTURE_BIOGAS,TRWW,Increase biogas capture,transformation_trww_inc_capture_biogas.yaml,Increases capture of biogas at secondary and tertiary anaerobic wastewater treatment facilities. ,0.85,0.17,0.085,0.425
TX:TRWW:INC_COMPLIANCE_SEPTIC,TRWW,Increase septic compliance,transformation_trww_inc_compliance_septic.yaml,"Septic tanks help reduce emissions and improve health outcomes in rural areas. However, compliance in pumping schedule and maintenance are required to maintain full  benefits. This transformation increases the compliance of septic tanks.",0.9,,,0.18000000000000002
TX:WALI:INC_TREATMENT_INDUSTRIAL,WALI,Improved industrial wastewater treatment,transformation_wali_inc_treatment_industrial.yaml,"Industrial wastewater treatment is shifted so that a minimum of 80% is treated in advanced anaerobic facilities, 10% is in secondary anaerobic facilities, and 10% is in secondary aerobic facilities.",,,,
TX:WALI:INC_TREATMENT_RURAL,WALI,Improved rural wastewater treatment,transformation_wali_inc_treatment_rural.yaml,Rural wastewater treatment is shifted so that 100% of rural wastewater is treated in septic tanks. ,,,,
TX:WALI:INC_TREATMENT_URBAN,WALI,Improved urban wastewater treatment,transformation_wali_inc_treatment_urban.yaml,"Industrial wastewater treatment is shifted so that a minimum of 30% is treated in advanced anaerobic facilities, 30% is treated in advanced aerobic facilities, 20% is in secondary anaerobic facilities, and 20% is in secondary aerobic facilities.",,,,
TX:WASO:DEC_CONSUMER_FOOD_WASTE,WASO,Consumer food waste reduction,transformation_waso_dec_consumer_food_waste.yaml,Reduce the amount of food waste generated per capita.,0.3,0.09,0.03,0.09
TX:WASO:INC_ANAEROBIC_AND_COMPOST,WASO,Increase composting and biogas,transformation_waso_inc_anaerobic_and_compost.yaml,"Increase the fraction of yard, food, and sludge waste that is treated by anaerobic digesters or compost. Defaults to 47.5% in anaerobic digestion facilities and 47.5% in compost facilities.","{'magnitude_biogas': 0.475, 'magnitude_compost': 0.475}","{'magnitude_biogas': 0.475, 'magnitude_compost': 0.475}","{'magnitude_biogas': 0.475, 'magnitude_compost': 0.475}","{'magnitude_biogas': 0.475, 'magnitude_compost': 0.475}"
TX:WASO:INC_CAPTURE_BIOGAS,WASO,Increase biogas capture,transformation_waso_inc_capture_biogas.yaml,Increase fraction of biogas captured from landfills and anaerobic digesters,0.85,0.17,0.085,0.17
TX:WASO:INC_ENERGY_FROM_BIOGAS,WASO,Biogas for energy production,transformation_waso_inc_energy_from_biogas.yaml,Increase the fraction of biogas that is collected that is used for energy,0.85,0.17,0.085,0.17
TX:WASO:INC_ENERGY_FROM_INCINERATION,WASO,Incineration for energy production,transformation_waso_inc_energy_from_incineration.yaml,Solid waste can be incinerated and used for energy; this transformation specifies the target fraction of solid waste that is incinerated that is used for energy.,0.85,0.17,0.085,0.17
TX:WASO:INC_LANDFILLING,WASO,Increase landfilling,transformation_waso_inc_landfilling.yaml,"Increase fraction of waste that is otherwise not recycled, composted, or digested that is sent to landfills",1.0,,,
TX:WASO:INC_RECYCLING,WASO,Increase recycling,transformation_waso_inc_recycling.yaml,Recycling can reduce emissions by reducing anaerobic decomposition in landfills and reducing the need for virgin production of materials. This transformation increases the fraction of recyclable waste that is recycled.,0.95,,,
TX:ENFU:ADJ_EXPORTS,ENFU,Increase fuel exports,transformation_enfu_adj_exports.yaml,,1.5,,,
